,,,,,,,,,,,,SUMME,EIGENANTEIL
,,1,Bitset,,iFixit,Pro Tech Toolkit,https://www.ifixit.com/de-de/products/pro-tech-toolkit,"74,99",,,,,
,,1,Feilen,,,,https://amazon.de/dp/B08BZFH1C4,"19,98",,,,,
,,2,Haken Set,,,,https://amazon.de/dp/B0D3QCTQSX,"4,99",,,,,
,,0,Zangenset,,,,,,,,,,
,,0,Werkzeugkoffer,,,,,,,,,,
,,0,Säge,,,,,,,,,,
,,0,Blumendraht,,,,,,,,,,
,,0,Bremsenreiniger,,,,,,,,,,
,,1,Drahtbürsten,,,,https://amazon.de/dp/B0D8BJ5JF1,"2,49",,,,,
,,1,Fett,,,,https://amazon.de/dp/B001BAU3VY,"6,95",,,,,
,,1,Gabelschlüssel,,,,https://amazon.de/dp/B09TL1NJY2,"148,42",,,,,
,,1,Gripzange,,,,https://amazon.de/dp/B01IGKKBN6,"16,96",,,,,
,,1,Hammer ,,,,https://amazon.de/dp/B01MQNGXUY,"4,99",,,,,
,,1,Wasserpumpenzange,,,,https://amazon.de/dp/B0002YYM9E,"16,99",,,,,
,,1,Spitzzange gekrümmt,,,,https://amazon.de/dp/B000XUMXQQ,"25,99",,,,,
,,1,Spitzzange gerade,,,,https://amazon.de/dp/B0001D9J3U,"27,89",,,,,
,,1,Sprengringzangen,,,,https://amazon.de/dp/B09T6QQ374,"20,99",,,,,
,,1,Kneifzange,,,,https://amazon.de/dp/B0001P0CP2,"18,17",,,,,
,,1,Kombizange,,,,https://amazon.de/dp/B0001D9J2G,"15,99",,,,,
,,0,Kraftreiniger Nigrin,,,,,,,,,,
,,1,Kunststoffhammer,,,,https://amazon.de/dp/B07M62GDFH,"9,83",,,,,
,,1,Körner,,,,https://amazon.de/dp/B07CNX5RRB,"5,65",,,,,
,,1,Körner Automatisch,,,,https://amazon.de/dp/B000PTRHH0,"7,25",,,,,
,,1,Metallbohrer,,,,https://amazon.de/dp/B0761K1KCY,"23,99",,,,,
,,1,Stufenbohrer,,,,https://amazon.de/dp/B07XM6CJDC,"19,99",,,,,
,,0,Ringschlüssel,,,,,,,,,,
,,0,Schlüsselfeilen,,,,,,,,,,
,,0,Schmirgelpapier,,,,,,,,,,
,,0,Schraubzwinge,,,,,,,,,,
,,2,Arbeitslampe,,,,https://amazon.de/dp/B07MJBLYZ2,"16,99",,,,,
,,1,Tütchen,,,,https://amazon.de/dp/B082RGVWZ9,"9,99",,,,,
,,2,Magnetschalen,,,,https://amazon.de/dp/B0CQMS666M,"15,49",,,,,
,,1,Cuttermesser,,,,https://amazon.de/dp/B01N1RMEG9,"16,27",,,,,
,,,,,,,,,,,,,
,,,Bereich: Weiterbildung,,,,,,,,,"78,98",
,,1,Action Cam,,,,https://amazon.de/dp/B0DNJRLJQ7,"69,99",,,,,
,,1,Kopfband,,,,https://amazon.de/dp/B078MPPPLN,"8,99",,,,,
,,,,,,,,,,,,,
,,,Bereich: Arbeitssicherheit,,,,,,,,,,
,,0,Trenntrafo,,,,,,,,,,
,,0,Sicherungskasten,,,,,,,,,,
,,0,Schutzbrillen,,,,,,,,,,
,,,,,,,,,,,,,
,,,Bereich: Reinigung,,,,,,,,,"111,77",
,,1,Einweghandschuhe,M,,,https://amazon.de/dp/B00X81MA0Q,"9,99",,,,,
,,1,Einweghandschuhe,L,,,https://amazon.de/dp/B00X81M4FW,"9,99",,,,,
,,1,Arbeitshandschuhe,,,,https://amazon.de/dp/B07B8TNL1J,"22,47",,,,,
,,1,Wanne zum Waschen,,,,https://amazon.de/dp/B00I89Q9AA,"9,69",,,,,
,,2,Handwaschpaste,,,,https://amazon.de/dp/B00KTGEQ4G,"10,12",,,,,
,,0,Staubsauger,,,,,,,,,,
,,0,Schutzbrillen,,,,,,,,,,
,,0,Küchenpapier,,,,,,,,,,
,,1,Spiritus,,,,https://amazon.de/dp/B01M077N1P,"17,9",,,,,
,,0,Müllbeutel,,,,,,,,,,
,,0,Mülleimer,,,,,,,,,,
,,1,Pinsel zum Reinigen,,,,https://amazon.de/dp/B07R962ZGW,5,,,,,
,,0,Powerduster,,,,,,,,,,
,,0,Putzlappen,,,,,,,,,,
,,1,Kaffeereinger,,,,https://amazon.de/dp/B004LCTBEO,"16,49",,,,,
,,,,,,,,,,,,,
,,,Bereich: Computer,,,,,,,,,,
,,0,USB Kabel,,,,,,,,,,
,,0,USB Netzteile,,,,,,,,,,
,,0,LAN Kabel,,,,,,,,,,
,,0,Laptop,,,,,,,,,,
